word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
body,consonant,-0.040320623375846,-0.142772731177318,0.062988130124055,BODY,213,6,ʎɦçʔrzŋgṇxkpɲṃṛsɽmἠ,ʎ,0.510879653016335,0.490654695093638,0.531265404936256,0.524145574134596,-0.018862770855858,vowelConsonant
bone,consonant,0.16293015273021,0.064013325964397,0.261864046754977,BONE,230,6,cɟṇkʔftxhlsbʎgɬpŋ,k,0.545871642397661,0.526279591428069,0.565456431548176,0.551151664122661,0.137911286107393,vowelConsonant
boy,consonant,0.019935060387242,-0.084287231262211,0.123307653113703,BOY,210,6,ɽxsçvzjgktc,t,0.521378247076615,0.500560538781852,0.541822082371839,0.528737224259396,0.007709132166935,vowelConsonant
brain,consonant,0.070901349478403,-0.039445609069208,0.181418334414178,BRAIN,181,6,ɦɬʎɣgcŋxrkfdʔɽlpn,k,0.530187278080071,0.508707616709971,0.551610149011108,0.538839219319221,0.066274999174916,vowelConsonant
breast,consonant,0.129447925346569,0.02852039514974,0.228046275561066,BREAST,224,6,mṇŋɣcɲʔgt,m,0.540273580085402,0.520546357928513,0.559795543512466,0.5439055592156,0.09571354864135,vowelConsonant
breathe,consonant,0.062652970701035,-0.046841818358914,0.170044630578029,BREATHE,186,6,hἠxŋfjsznɟçɬ,s,0.528571368644202,0.50749455362707,0.549474545602264,0.535793117859935,0.04859810133018,vowelConsonant
burn,consonant,0.07841767234993,-0.022925471135329,0.177136180077606,BURN,217,6,dɽrhɣzlɦvkɬʔxt,k,0.531469287885353,0.510719612539549,0.551258366946764,0.534646276109496,0.041946925538253,vowelConsonant
buttocks,consonant,0.092282470224266,-0.016624915997848,0.199912377420702,BUTTOCKS,179,6,tɦcdpzrbɲɬlçʔngɽk,t,0.53377757616328,0.512804113994702,0.554584581542767,0.536589283572971,0.053216797961313,vowelConsonant
carry,consonant,-0.018499600269867,-0.118736324040023,0.080980023346116,CARRY,234,6,fçxɬɲɟʎhsnptṃrἠ,f,0.514561268453289,0.49527151558666,0.534137214910555,0.518817050115741,-0.049669668265617,vowelConsonant
clean,consonant,0.090806738388723,-0.028968077465497,0.209782875590813,CLEAN,158,6,ʎfcsɦɽlghçɬɣrpjzx,s,0.533651791100751,0.510376741783834,0.555910051366049,0.537604215010112,0.059106165287549,vowelConsonant
cloud,consonant,0.107008557501412,0.006375561633581,0.210136911229487,CLOUD,209,6,ŋʎlbfrmpgxɦɽkʔj,k,0.536276552928658,0.516009478701798,0.55598483856959,0.537965358044062,0.061202212460424,vowelConsonant
cold,consonant,0.161943555720352,0.060975584582778,0.262729335376082,COLD,228,6,çṇczʔtlsdhŋk,t,0.545683609079858,0.525433425809983,0.565659909153415,0.553319560140497,0.150559807085318,vowelConsonant
come,consonant,-0.25853921674973,-0.357523747444707,-0.160048217648028,COME,226,6,ɣçfɽɬɲɦxʔsrtŋbkgṇpzlṃdṛἠ,ɣ,0.472959909920546,0.453388100437993,0.49332639795059,0.498938650713239,-0.164434859847602,vowelConsonant
correct,consonant,0.055319310861491,-0.058856776749626,0.170691015014256,CORRECT,163,6,ṛtbrʎzchɬsɣdlŋ,t,0.527585926123041,0.505507360656603,0.549207106536014,0.539809697629181,0.071910275829477,vowelConsonant
